"delta","qrpEnv","censor","tau","3PSM_10","3PSM_100","3PSM_30","3PSM_60","4PSM_10","4PSM_100","4PSM_30","4PSM_60","pcurve_10","pcurve_100","pcurve_30","pcurve_60","PEESE_10","PEESE_100","PEESE_30","PEESE_60","PET_10","PET_100","PET_30","PET_60","PETPEESE_10","PETPEESE_100","PETPEESE_30","PETPEESE_60","puniform_10","puniform_100","puniform_30","puniform_60","reMA_10","reMA_100","reMA_30","reMA_60","TF_10","TF_100","TF_30","TF_60","WAAP-WLS_10","WAAP-WLS_100","WAAP-WLS_30","WAAP-WLS_60"
0.8,"none","med",0.2,0.808040201005025,0.949,0.914572864321608,0.947895791583166,0.697791164658635,0.801,0.762048192771084,0.775551102204409,NA,NA,NA,NA,0.802,0.611,0.708,0.683,0.79,0.449,0.632,0.56,0.785,0.611,0.708,0.683,0.906,0.88,0.908,0.881,0.83,0.453,0.774,0.615,0.83828045035824,0.819397993311037,0.852097130242826,0.851063829787234,0.872,0.788,0.828,0.814
0,"none","med",0.4,0.778557114228457,0.905,0.879,0.936,0.74749498997996,0.402,0.821,0.611,NA,NA,NA,NA,0.669,0.323,0.56,0.452,0.804,0.622,0.675,0.639,0.752,0.565,0.627,0.585,0.363825363825364,0,0.049049049049049,0,0.485,0,0.107,0.008,0.650300601202405,0.118,0.534,0.301,0.693,0.563,0.597,0.567
0.2,"none","med",0.4,0.713426853707415,0.798,0.816,0.824,0.62962962962963,0.833,0.858,0.904,NA,NA,NA,NA,0.676,0.229,0.465,0.339,0.825,0.591,0.706,0.66,0.67,0.158,0.423,0.271,0.420626895854398,0,0.052,0.003,0.317,0,0.039,0,0.456740442655936,0.032,0.345035105315948,0.159159159159159,0.722,0.438,0.597,0.513
0.5,"none","med",0.4,0.770310932798395,0.814,0.831,0.843,0.52457372116349,0.869,0.621,0.766,NA,NA,NA,NA,0.782,0.516,0.651,0.554,0.789,0.625,0.696,0.648,0.723,0.513,0.604,0.527,0.642928786359077,0.003,0.277,0.05,0.471,0.001,0.072,0.002,0.625126646403242,0.31,0.529411764705882,0.47035175879397,0.772,0.41,0.62,0.498
0.8,"none","med",0.4,0.78,0.953,0.915,0.941,0.582,0.679,0.627,0.635,NA,NA,NA,NA,0.784,0.638,0.706,0.667,0.767,0.504,0.645,0.574,0.741,0.638,0.697,0.667,0.79,0.245245245245245,0.603,0.449,0.746,0.044,0.447,0.191,0.813953488372093,0.859437751004016,0.771805273833671,0.81010101010101,0.814,0.648,0.752,0.699
0,"med","med",0,0.940343781597573,0.91218441273326,0.933058702368692,0.925965665236052,0.884732052578362,0.984766050054407,0.946611909650924,0.97228144989339,NA,NA,NA,NA,0.898,0.372,0.73,0.593,0.877,0.531,0.797,0.685,0.872,0.531,0.794,0.685,0.97972972972973,1,0.983240223463687,1,0.152,0,0,0,0.419678714859438,0,0.0685772773797339,0.00303030303030303,0.37,0.267,0.043,0.116
0.2,"med","med",0,0.918116683725691,0.833530106257379,0.902542372881356,0.900798175598632,0.662231320368475,0.743443557582668,0.6610348468849,0.67869222096956,NA,NA,NA,NA,0.909,0.811,0.882,0.85,0.721,0.041,0.415,0.152,0.721,0.699,0.519,0.598,0.996677740863787,0.402061855670103,0.973886328725038,0.6991643454039,0.204,0,0.003,0,0.600622406639004,0.00128369704749679,0.209806157354618,0.0239520958083832,0.632,0.695,0.777,0.755
0.5,"med","med",0,0.841253791708797,0.86015538290788,0.86833855799373,0.890557939914163,0.633973710819009,0.597790055248619,0.667711598746082,0.646995708154506,NA,NA,NA,NA,0.813,0.508,0.735,0.635,0.631,0.05,0.376,0.138,0.72,0.508,0.728,0.635,0.920750782064651,0.418,0.75,0.613,0.811,0.035,0.425,0.151,0.917634635691658,0.838862559241706,0.874568469505178,0.882009345794392,0.935,0.899,0.888,0.919
0.8,"med","med",0,0.865927419354839,0.884244372990354,0.858895705521472,0.897894736842105,0.809475806451613,0.810289389067524,0.811860940695297,0.825263157894737,NA,NA,NA,NA,0.862,0.492,0.741,0.655,0.817,0.261,0.607,0.468,0.847,0.492,0.741,0.655,0.94,0.727,0.865,0.812,0.938,0.707,0.892,0.807,0.942208462332301,0.898776418242492,0.924892703862661,0.901531728665208,0.938,0.928,0.932,0.927
0,"med","med",0.2,0.804804804804805,0.694,0.846774193548387,0.808617234468938,0.647294589178357,0.612,0.689134808853119,0.681681681681682,NA,NA,NA,NA,0.641,0.309,0.514,0.404,0.842,0.682,0.753,0.697,0.805,0.646,0.719,0.654,0.902309058614565,0.798941798941799,0.873493975903614,0.818978102189781,0.186,0,0,0,0.371975806451613,0,0.0855991943605237,0.001001001001001,0.418,0.539,0.326,0.365
0.2,"med","med",0.2,0.817718940936864,0.860581745235707,0.901010101010101,0.88821752265861,0.612640163098879,0.862725450901804,0.763104838709677,0.831991951710262,NA,NA,NA,NA,0.735,0.269,0.552,0.414,0.791,0.6,0.7,0.656,0.647,0.138,0.395,0.258,0.954377311960543,0.922768304914744,0.948387096774194,0.942131979695431,0.121,0,0,0,0.40894901144641,0,0.0957095709570957,0.00335570469798658,0.629,0.414,0.63,0.537
0.5,"med","med",0.2,0.789738430583501,0.84984984984985,0.885743174924166,0.910642570281124,0.467270896273917,0.375375375375375,0.411526794742164,0.390562248995984,NA,NA,NA,NA,0.769,0.631,0.69,0.636,0.67,0.307,0.5,0.404,0.663,0.631,0.654,0.635,0.938587512794268,0.837,0.911823647294589,0.886,0.623,0.003,0.221,0.044,0.785864978902954,0.753267973856209,0.813060179257362,0.805389221556886,0.86,0.768,0.829,0.787
0.8,"med","med",0.2,0.75025075225677,0.802,0.82713567839196,0.832832832832833,0.634904714142427,0.43,0.601005025125628,0.504504504504504,NA,NA,NA,NA,0.801,0.528,0.665,0.574,0.781,0.39,0.599,0.462,0.781,0.528,0.665,0.574,0.917917917917918,0.818,0.904,0.862,0.856,0.484,0.786,0.663,0.859375,0.73841961852861,0.832125603864734,0.775749674054759,0.894,0.816,0.855,0.808
0,"med","med",0.4,0.744,0.164,0.67,0.375,0.638,0.184,0.663,0.361,NA,NA,NA,NA,0.713,0.565,0.655,0.602,0.797,0.662,0.742,0.688,0.773,0.63,0.696,0.648,0.658139534883721,0.036,0.42279792746114,0.145290581162325,0.406,0,0.047,0,0.624874623871615,0.004,0.377,0.082,0.702,0.517,0.555,0.517
0.2,"med","med",0.4,0.783567134268537,0.45,0.823,0.651,0.666332665330661,0.535,0.802,0.759,NA,NA,NA,NA,0.714,0.398,0.573,0.483,0.792,0.66,0.716,0.672,0.686,0.257,0.516,0.352,0.727370689655172,0.064,0.495477386934673,0.225,0.283,0,0.012,0,0.498985801217039,0.00600600600600601,0.312883435582822,0.0814889336016097,0.716,0.542,0.636,0.613
